,Bid,Ask,Open Int,time to maturity (years),log_moneyness,strike,Mid,inv_spread
1383,0.0,0.05,50,0.0136986301369863,0.08716392065554977,2980,0.025,20.0
1381,0.0,0.05,300,0.0136986301369863,0.0854846591358299,2975,0.025,20.0
1355,0.0,0.05,115,0.0136986301369863,0.06339370132163799,2910,0.025,20.0
1351,0.0,0.05,4463,0.0136986301369863,0.05995135713066503,2900,0.025,20.0
2831,0.0,0.05,11,0.03561643835616438,0.12664273162933723,3100,0.025,20.0
2833,0.0,0.05,4,0.03561643835616438,0.14264307297577852,3150,0.025,20.0
2835,0.0,0.05,6,0.03561643835616438,0.15839142994391764,3200,0.025,20.0
2473,0.0,0.05,7,0.030136986301369864,0.15839142994391764,3200,0.025,20.0
2471,0.0,0.05,2,0.030136986301369864,0.14264307297577852,3150,0.025,20.0
2155,0.0,0.05,233,0.021917808219178082,0.17389561647988283,3250,0.025,20.0
2151,0.0,0.05,60,0.021917808219178082,0.14264307297577852,3150,0.025,20.0
1063,0.0,0.05,3,0.0027397260273972603,0.1891630886106714,3300,0.025,20.0
1057,0.0,0.05,10,0.0027397260273972603,0.15839142994391764,3200,0.025,20.0
1049,0.0,0.05,382,0.0027397260273972603,0.13467490332660167,3125,0.025,20.0
1045,0.0,0.05,2,0.0027397260273972603,0.13307362195962777,3120,0.025,20.0
1037,0.0,0.05,165,0.0027397260273972603,0.12664273162933723,3100,0.025,20.0
917,0.0,0.05,1244,0.0027397260273972603,0.07365020148882694,2940,0.025,20.0
977,0.0,0.05,41,0.0027397260273972603,0.09884045031738557,3015,0.025,20.0
909,0.0,0.05,270,0.0027397260273972603,0.07024304316721268,2930,0.025,20.0
901,0.0,0.05,526,0.0027397260273972603,0.06682423641842718,2920,0.025,20.0
1743,0.0,0.05,110,0.01643835616438356,0.14264307297577852,3150,0.025,20.0
905,0.0,0.05,479,0.0027397260273972603,0.06853510082205669,2925,0.025,20.0
855,0.0,0.05,2074,0.0027397260273972603,0.04606224496999791,2860,0.025,20.0
863,0.0,0.05,5056,0.0027397260273972603,0.049552649909766586,2870,0.025,20.0
869,0.0,0.05,1189,0.0027397260273972603,0.05303091428609136,2880,0.025,20.0
877,0.0,0.05,1254,0.0027397260273972603,0.05649712226257753,2890,0.025,20.0
885,0.0,0.05,1361,0.0027397260273972603,0.05995135713066503,2900,0.025,20.0
