,Bid,Ask,Open Int,time to maturity (years),log_moneyness,strike,Mid
3,0.0,0.05,905,0.0027397260273972603,-0.9094492000574385,1100,0.025
7,0.0,0.05,509,0.0027397260273972603,-0.8224378230678087,1200,0.025
11,0.0,0.05,1810,0.0027397260273972603,-0.7423951153942722,1300,0.025
15,0.0,0.05,551,0.0027397260273972603,-0.7233469204235777,1325,0.025
19,0.0,0.05,1077,0.0027397260273972603,-0.7046547874114251,1350,0.025
23,0.0,0.05,210,0.0027397260273972603,-0.6863056487432285,1375,0.025
27,0.0,0.05,386,0.0027397260273972603,-0.6682871432405503,1400,0.025
31,0.0,0.05,0,0.0027397260273972603,-0.6505875661411494,1425,0.025
35,0.0,0.05,22,0.0027397260273972603,-0.6331958234292803,1450,0.025
39,0.0,0.05,105,0.0027397260273972603,-0.61610139006998,1475,0.025
43,0.0,0.05,1658,0.0027397260273972603,-0.5992942717535988,1500,0.025
47,0.0,0.05,397,0.0027397260273972603,-0.5827649698023883,1525,0.025
51,0.0,0.05,680,0.0027397260273972603,-0.566504448930608,1550,0.025
55,0.0,0.05,857,0.0027397260273972603,-0.5505041075841668,1575,0.025
59,0.0,0.05,669,0.0027397260273972603,-0.5347557506160276,1600,0.025
63,0.0,0.05,150,0.0027397260273972603,-0.5192515640800625,1625,0.025
67,0.0,0.05,1201,0.0027397260273972603,-0.5039840919492738,1650,0.025
71,0.0,0.05,3955,0.0027397260273972603,-0.4889462145847334,1675,0.025
75,0.0,0.05,357,0.0027397260273972603,-0.47413112879959285,1700,0.025
79,0.0,0.05,341,0.0027397260273972603,-0.4595323293784402,1725,0.025
83,0.0,0.05,1061,0.0027397260273972603,-0.44514359192634045,1750,0.025
87,0.0,0.05,1115,0.0027397260273972603,-0.4309589569343841,1775,0.025
91,0.0,0.05,372,0.0027397260273972603,-0.4169727149596442,1800,0.025
95,0.0,0.05,122,0.0027397260273972603,-0.4114325345840288,1810,0.025
99,0.0,0.05,298,0.0027397260273972603,-0.40592287877305927,1820,0.025
103,0.0,0.05,543,0.0027397260273972603,-0.40317939282730847,1825,0.025
107,0.0,0.05,462,0.0027397260273972603,-0.4004434130084336,1830,0.025
111,0.0,0.05,105,0.0027397260273972603,-0.394993808240869,1840,0.025
115,0.0,0.05,647,0.0027397260273972603,-0.38957374077152973,1850,0.025
119,0.0,0.05,206,0.0027397260273972603,-0.38418289213665335,1860,0.025
123,0.0,0.05,105,0.0027397260273972603,-0.3788209489952679,1870,0.025
127,0.0,0.05,457,0.0027397260273972603,-0.3761507204393891,1875,0.025
131,0.0,0.05,219,0.0027397260273972603,-0.3734876030199054,1880,0.025
135,0.0,0.05,643,0.0027397260273972603,-0.36818255079021217,1890,0.025
139,0.0,0.05,1081,0.0027397260273972603,-0.3629054936893685,1900,0.025
143,0.0,0.05,418,0.0027397260273972603,-0.3576561378032247,1910,0.025
147,0.0,0.05,58,0.0027397260273972603,-0.3524341938220731,1920,0.025
151,0.0,0.05,455,0.0027397260273972603,-0.34983341212201574,1925,0.025
155,0.0,0.05,434,0.0027397260273972603,-0.347239376944969,1930,0.025
159,0.0,0.05,2909,0.0027397260273972603,-0.3420714067865265,1940,0.025
163,0.0,0.05,145,0.0027397260273972603,-0.3369300072861077,1950,0.025
167,0.0,0.05,404,0.0027397260273972603,-0.3318149066193374,1960,0.025
171,0.0,0.05,323,0.0027397260273972603,-0.32672583711186604,1970,0.025
175,0.0,0.05,345,0.0027397260273972603,-0.32419098150867803,1975,0.025
179,0.0,0.05,412,0.0027397260273972603,-0.3216625351553194,1980,0.025
183,0.0,0.05,482,0.0027397260273972603,-0.31662474112536215,1990,0.025
187,0.0,0.05,947,0.0027397260273972603,-0.31161219930181794,2000,0.025
191,0.0,0.05,686,0.0027397260273972603,-0.3066246577907788,2010,0.025
195,0.0,0.05,219,0.0027397260273972603,-0.3016618684486499,2020,0.025
199,0.0,0.05,632,0.0027397260273972603,-0.2991896793032607,2025,0.025
203,0.0,0.05,312,0.0027397260273972603,-0.2967235868080672,2030,0.025
207,0.0,0.05,712,0.0027397260273972603,-0.29180957200563823,2040,0.025
211,0.0,0.05,3233,0.0027397260273972603,-0.2869195867114464,2050,0.025
215,0.0,0.05,420,0.0027397260273972603,-0.28205339706027355,2060,0.025
219,0.0,0.05,0,0.0027397260273972603,-0.2796291534487671,2065,0.025
223,0.0,0.05,216,0.0027397260273972603,-0.2772107725844855,2070,0.025
227,0.0,0.05,346,0.0027397260273972603,-0.2747982261791016,2075,0.025
231,0.0,0.05,113,0.0027397260273972603,-0.27239148614853664,2080,0.025
235,0.0,0.05,5,0.0027397260273972603,-0.2699905246109984,2085,0.025
239,0.0,0.05,508,0.0027397260273972603,-0.26759531388504354,2090,0.025
243,0.0,0.05,1,0.0027397260273972603,-0.26520582648766217,2095,0.025
247,0.0,0.05,5561,0.0027397260273972603,-0.26282203513238594,2100,0.025
251,0.0,0.05,201,0.0027397260273972603,-0.2604439127274184,2105,0.025
255,0.0,0.05,264,0.0027397260273972603,-0.25807143237378805,2110,0.025
259,0.0,0.05,0,0.0027397260273972603,-0.25570456736352193,2115,0.025
263,0.0,0.05,456,0.0027397260273972603,-0.2533432911778422,2120,0.025
267,0.0,0.05,479,0.0027397260273972603,-0.25098757748538303,2125,0.025
271,0.0,0.05,162,0.0027397260273972603,-0.24863740014042945,2130,0.025
275,0.0,0.05,96,0.0027397260273972603,-0.24629273318117537,2135,0.025
279,0.0,0.05,194,0.0027397260273972603,-0.24395355082800316,2140,0.025
283,0.0,0.05,249,0.0027397260273972603,-0.24161982748178287,2145,0.025
287,0.0,0.05,806,0.0027397260273972603,-0.23929153772219178,2150,0.025
291,0.0,0.05,127,0.0027397260273972603,-0.23696865630605213,2155,0.025
295,0.0,0.05,297,0.0027397260273972603,-0.23465115816568966,2160,0.025
299,0.0,0.05,325,0.0027397260273972603,-0.23233901840731,2165,0.025
303,0.0,0.05,329,0.0027397260273972603,-0.23003221230939502,2170,0.025
307,0.0,0.05,374,0.0027397260273972603,-0.22773071532111583,2175,0.025
311,0.0,0.05,47,0.0027397260273972603,-0.22543450306076562,2180,0.025
315,0.0,0.05,266,0.0027397260273972603,-0.2231435513142097,2185,0.025
319,0.0,0.05,223,0.0027397260273972603,-0.22085783603335377,2190,0.025
323,0.0,0.05,387,0.0027397260273972603,-0.21857733333462856,2195,0.025
327,0.0,0.05,2806,0.0027397260273972603,-0.21630201949749311,2200,0.025
331,0.0,0.05,37,0.0027397260273972603,-0.21403187096295387,2205,0.025
335,0.0,0.05,374,0.0027397260273972603,-0.21176686433210176,2210,0.025
339,0.0,0.05,300,0.0027397260273972603,-0.20950697636466428,2215,0.025
343,0.0,0.05,289,0.0027397260273972603,-0.2072521839775752,2220,0.025
347,0.0,0.05,834,0.0027397260273972603,-0.20500246424355964,2225,0.025
351,0.0,0.05,314,0.0027397260273972603,-0.20275779438973582,2230,0.025
355,0.0,0.05,162,0.0027397260273972603,-0.2005181517962311,2235,0.025
359,0.0,0.05,347,0.0027397260273972603,-0.1982835139948148,2240,0.025
363,0.0,0.05,380,0.0027397260273972603,-0.19605385866754557,2245,0.025
367,0.0,0.05,3514,0.0027397260273972603,-0.19382916364543445,2250,0.025
371,0.0,0.05,583,0.0027397260273972603,-0.19160940690712158,2255,0.025
375,0.0,0.05,489,0.0027397260273972603,-0.18939456657756878,2260,0.025
379,0.0,0.05,108,0.0027397260273972603,-0.18718462092676583,2265,0.025
383,0.0,0.05,331,0.0027397260273972603,-0.1849795483684519,2270,0.025
387,0.0,0.05,887,0.0027397260273972603,-0.1827793274588495,2275,0.025
391,0.0,0.05,305,0.0027397260273972603,-0.18058393689541388,2280,0.025
