,Open Int,time to maturity (years),moneyness,inv_spread
1037,165,0.0027397260273972603,0.8810483870967742,20.0
961,39,0.0027397260273972603,0.9119365609348915,20.0
937,163,0.0027397260273972603,0.9211635750421585,20.0
941,224,0.0027397260273972603,0.9196127946127947,20.0
945,1153,0.0027397260273972603,0.9180672268907563,20.0
949,368,0.0027397260273972603,0.9165268456375839,20.0
953,94,0.0027397260273972603,0.9149916247906198,20.0
957,203,0.0027397260273972603,0.9134615384615384,20.0
965,1858,0.0027397260273972603,0.9104166666666667,20.0
929,2159,0.0027397260273972603,0.9242808798646363,20.0
969,4,0.0027397260273972603,0.9089018302828619,20.0
973,122,0.0027397260273972603,0.907392026578073,20.0
977,41,0.0027397260273972603,0.9058872305140961,20.0
981,2,0.0027397260273972603,0.9043874172185431,20.0
985,160,0.0027397260273972603,0.9028925619834711,20.0
989,1,0.0027397260273972603,0.9014026402640264,20.0
933,148,0.0027397260273972603,0.9227195945945946,20.0
925,674,0.0027397260273972603,0.9258474576271186,20.0
1005,480,0.0027397260273972603,0.8954918032786885,20.0
893,251,0.0027397260273972603,0.938573883161512,20.0
855,2074,0.0027397260273972603,0.9549825174825175,20.0
863,5056,0.0027397260273972603,0.9516550522648084,20.0
869,1189,0.0027397260273972603,0.9483506944444444,20.0
877,1254,0.0027397260273972603,0.9450692041522492,20.0
885,1361,0.0027397260273972603,0.9418103448275862,20.0
889,2110,0.0027397260273972603,0.9401893287435457,20.0
897,281,0.0027397260273972603,0.9369639794168096,20.0
921,1072,0.0027397260273972603,0.9274193548387096,20.0
901,526,0.0027397260273972603,0.9353595890410958,20.0
905,479,0.0027397260273972603,0.9337606837606838,20.0
909,270,0.0027397260273972603,0.9321672354948806,20.0
913,289,0.0027397260273972603,0.9305792163543442,20.0
917,1244,0.0027397260273972603,0.9289965986394558,20.0
3259,109,0.0410958904109589,0.853515625,20.0
993,1,0.0027397260273972603,0.8999176276771005,20.0
997,68,0.0027397260273972603,0.8984375,20.0
