,Open Int,time to maturity (years),moneyness
11215,79,0.8465753424657534,27.3125
9797,203,0.3287671232876712,27.3125
9801,1,0.3287671232876712,13.65625
11219,26,0.8465753424657534,13.65625
11223,30,0.8465753424657534,10.925
9805,12,0.3287671232876712,9.104166666666666
11227,3,0.8465753424657534,9.104166666666666
11231,3,0.8465753424657534,6.828125
10725,49,0.5972602739726027,5.4625
9813,30,0.3287671232876712,5.4625
11235,12,0.8465753424657534,5.4625
11239,22,0.8465753424657534,4.965909090909091
11243,11,0.8465753424657534,4.552083333333333
11247,1,0.8465753424657534,4.201923076923077
9821,60,0.3287671232876712,3.9017857142857144
9825,1,0.3287671232876712,3.6416666666666666
11255,1,0.8465753424657534,3.6416666666666666
9829,59,0.3287671232876712,3.4140625
11259,1,0.8465753424657534,3.4140625
10745,80,0.5972602739726027,2.73125
9845,7,0.3287671232876712,2.73125
11295,1,0.8465753424657534,2.6646341463414633
2475,15,0.03561643835616438,2.4829545454545454
3,15,0.0027397260273972603,2.4829545454545454
7,15,0.0027397260273972603,2.2760416666666665
9885,1,0.3287671232876712,2.185
9889,30,0.3287671232876712,2.142156862745098
11335,13,0.8465753424657534,2.142156862745098
2479,1,0.03561643835616438,2.1009615384615383
11339,6,0.8465753424657534,2.1009615384615383
11343,9,0.8465753424657534,2.061320754716981
11347,7,0.8465753424657534,2.0231481481481484
11351,16,0.8465753424657534,1.9863636363636363
11355,30,0.8465753424657534,1.9508928571428572
3883,32,0.06027397260273973,1.9508928571428572
11359,7,0.8465753424657534,1.9166666666666667
11363,21,0.8465753424657534,1.8836206896551724
9921,6,0.3287671232876712,1.8516949152542372
11367,2,0.8465753424657534,1.8516949152542372
43,2,0.0027397260273972603,1.8208333333333333
2483,1,0.03561643835616438,1.8208333333333333
11671,26,0.873972602739726,1.8208333333333333
11371,20,0.8465753424657534,1.8208333333333333
9925,21,0.3287671232876712,1.8208333333333333
11375,128,0.8465753424657534,1.790983606557377
9929,4,0.3287671232876712,1.790983606557377
11095,10,0.6164383561643836,1.7620967741935485
11379,27,0.8465753424657534,1.7620967741935485
9933,3,0.3287671232876712,1.7620967741935485
11383,19,0.8465753424657534,1.7341269841269842
9937,1,0.3287671232876712,1.7341269841269842
55,1,0.0027397260273972603,1.7341269841269842
10227,3,0.36712328767123287,1.70703125
11387,29,0.8465753424657534,1.70703125
11097,10,0.6164383561643836,1.70703125
9941,27,0.3287671232876712,1.70703125
10813,10,0.5972602739726027,1.70703125
11391,20,0.8465753424657534,1.6807692307692308
9945,1,0.3287671232876712,1.6807692307692308
11395,49,0.8465753424657534,1.6553030303030303
10821,6,0.5972602739726027,1.6553030303030303
67,1,0.0027397260273972603,1.6553030303030303
2489,1,0.03561643835616438,1.6553030303030303
6675,2,0.11506849315068493,1.6553030303030303
11675,30,0.873972602739726,1.6553030303030303
10229,33,0.36712328767123287,1.6553030303030303
9949,20,0.3287671232876712,1.6553030303030303
11099,38,0.6164383561643836,1.6553030303030303
10825,28,0.5972602739726027,1.6305970149253732
11399,40,0.8465753424657534,1.6305970149253732
11403,59,0.8465753424657534,1.6066176470588236
11677,30,0.873972602739726,1.6066176470588236
11101,5,0.6164383561643836,1.6066176470588236
75,1,0.0027397260273972603,1.6066176470588236
10829,7,0.5972602739726027,1.6066176470588236
9957,31,0.3287671232876712,1.6066176470588236
10231,4,0.36712328767123287,1.6066176470588236
6677,2,0.11506849315068493,1.6066176470588236
11407,18,0.8465753424657534,1.5833333333333333
9961,7,0.3287671232876712,1.5833333333333333
9965,34,0.3287671232876712,1.5607142857142857
6327,8,0.09863013698630137,1.5607142857142857
6679,26,0.11506849315068493,1.5607142857142857
11411,20,0.8465753424657534,1.5607142857142857
10233,5,0.36712328767123287,1.5607142857142857
11103,12,0.6164383561643836,1.5607142857142857
10837,13,0.5972602739726027,1.5607142857142857
11415,16,0.8465753424657534,1.5387323943661972
