,Bid,Ask,Open Int,time to maturity (years),moneyness,strike,Mid
3,1622.4,1634.5,15,0.0027397260273972603,2.4829545454545454,1100,1628.45
7,1522.4,1534.5,15,0.0027397260273972603,2.2760416666666665,1200,1528.45
11,1422.7,1434.5,0,0.0027397260273972603,2.1009615384615383,1300,1428.6
15,1397.4,1409.5,0,0.0027397260273972603,2.061320754716981,1325,1403.45
19,1372.7,1384.5,0,0.0027397260273972603,2.0231481481481484,1350,1378.6
23,1347.4,1359.5,0,0.0027397260273972603,1.9863636363636363,1375,1353.45
27,1322.7,1338.1,0,0.0027397260273972603,1.9508928571428572,1400,1330.4
31,1297.4,1309.5,0,0.0027397260273972603,1.9166666666666667,1425,1303.45
35,1272.4,1284.5,0,0.0027397260273972603,1.8836206896551724,1450,1278.45
39,1247.4,1259.5,0,0.0027397260273972603,1.8516949152542372,1475,1253.45
43,1224.7,1236.8,2,0.0027397260273972603,1.8208333333333333,1500,1230.75
47,1197.5,1209.5,0,0.0027397260273972603,1.790983606557377,1525,1203.5
51,1172.4,1184.5,0,0.0027397260273972603,1.7620967741935485,1550,1178.45
55,1147.4,1159.5,1,0.0027397260273972603,1.7341269841269842,1575,1153.45
59,1122.4,1134.5,0,0.0027397260273972603,1.70703125,1600,1128.45
63,1097.5,1109.5,0,0.0027397260273972603,1.6807692307692308,1625,1103.5
67,1072.4,1084.5,1,0.0027397260273972603,1.6553030303030303,1650,1078.45
71,1047.4,1059.5,0,0.0027397260273972603,1.6305970149253732,1675,1053.45
75,1022.8,1034.5,1,0.0027397260273972603,1.6066176470588236,1700,1028.65
79,997.8,1009.5,0,0.0027397260273972603,1.5833333333333333,1725,1003.65
83,972.8,988.2,0,0.0027397260273972603,1.5607142857142857,1750,980.5
87,947.4,959.5,0,0.0027397260273972603,1.5387323943661972,1775,953.45
91,922.4,934.5,1,0.0027397260273972603,1.5173611111111112,1800,928.45
95,912.4,924.5,0,0.0027397260273972603,1.5089779005524862,1810,918.45
99,902.4,914.5,0,0.0027397260273972603,1.5006868131868132,1820,908.45
103,897.4,909.5,0,0.0027397260273972603,1.4965753424657535,1825,903.45
107,892.4,904.5,0,0.0027397260273972603,1.4924863387978142,1830,898.45
111,882.4,894.5,0,0.0027397260273972603,1.484375,1840,888.45
115,872.4,884.5,0,0.0027397260273972603,1.4763513513513513,1850,878.45
119,862.4,874.5,0,0.0027397260273972603,1.4684139784946237,1860,868.45
123,852.4,864.5,0,0.0027397260273972603,1.460561497326203,1870,858.45
127,847.5,862.6,0,0.0027397260273972603,1.4566666666666668,1875,855.05
131,842.4,854.5,0,0.0027397260273972603,1.4527925531914894,1880,848.45
135,832.6,844.5,1,0.0027397260273972603,1.44510582010582,1890,838.55
139,822.6,834.5,0,0.0027397260273972603,1.4375,1900,828.55
143,812.6,824.5,0,0.0027397260273972603,1.4299738219895288,1910,818.55
147,802.4,814.5,0,0.0027397260273972603,1.4225260416666667,1920,808.45
151,797.4,809.5,0,0.0027397260273972603,1.4188311688311688,1925,803.45
155,792.4,804.5,0,0.0027397260273972603,1.4151554404145077,1930,798.45
159,782.5,794.5,0,0.0027397260273972603,1.4078608247422681,1940,788.5
163,772.5,784.5,0,0.0027397260273972603,1.4006410256410255,1950,778.5
167,762.5,778.2,0,0.0027397260273972603,1.3934948979591837,1960,770.35
171,752.6,764.5,0,0.0027397260273972603,1.3864213197969544,1970,758.55
175,747.5,759.5,0,0.0027397260273972603,1.3829113924050633,1975,753.5
179,742.5,754.5,0,0.0027397260273972603,1.3794191919191918,1980,748.5
183,732.5,744.5,0,0.0027397260273972603,1.3724874371859297,1990,738.5
187,722.5,734.5,19,0.0027397260273972603,1.365625,2000,728.5
191,712.4,724.5,0,0.0027397260273972603,1.3588308457711442,2010,718.45
195,702.5,714.5,0,0.0027397260273972603,1.3521039603960396,2020,708.5
199,697.9,709.5,0,0.0027397260273972603,1.3487654320987654,2025,703.7
203,692.4,704.5,0,0.0027397260273972603,1.3454433497536946,2030,698.45
207,682.4,694.5,0,0.0027397260273972603,1.3388480392156863,2040,688.45
211,672.4,684.5,0,0.0027397260273972603,1.3323170731707317,2050,678.45
215,662.4,674.5,0,0.0027397260273972603,1.3258495145631068,2060,668.45
219,657.3,673.0,0,0.0027397260273972603,1.3226392251815982,2065,665.15
223,652.5,664.5,29,0.0027397260273972603,1.3194444444444444,2070,658.5
227,647.5,659.5,0,0.0027397260273972603,1.3162650602409638,2075,653.5
231,642.4,654.5,0,0.0027397260273972603,1.3131009615384615,2080,648.45
235,637.4,649.5,0,0.0027397260273972603,1.3099520383693046,2085,643.45
239,632.4,648.0,0,0.0027397260273972603,1.3068181818181819,2090,640.2
243,629.7,641.8,0,0.0027397260273972603,1.3036992840095465,2095,635.75
247,622.5,634.5,1,0.0027397260273972603,1.3005952380952381,2100,628.5
251,617.5,629.5,0,0.0027397260273972603,1.2975059382422802,2105,623.5
255,612.4,624.5,0,0.0027397260273972603,1.294431279620853,2110,618.45
259,607.5,619.5,0,0.0027397260273972603,1.291371158392435,2115,613.5
263,602.4,614.5,0,0.0027397260273972603,1.2883254716981132,2120,608.45
267,597.9,609.5,0,0.0027397260273972603,1.285294117647059,2125,603.7
271,592.4,604.5,0,0.0027397260273972603,1.2822769953051643,2130,598.45
275,587.4,599.5,0,0.0027397260273972603,1.2792740046838407,2135,593.45
279,582.5,594.5,0,0.0027397260273972603,1.276285046728972,2140,588.5
283,577.5,589.5,2,0.0027397260273972603,1.2733100233100234,2145,583.5
287,571.9,588.3,3,0.0027397260273972603,1.2703488372093024,2150,580.0999999999999
291,567.5,579.5,0,0.0027397260273972603,1.267401392111369,2155,573.5
295,562.5,574.5,0,0.0027397260273972603,1.2644675925925926,2160,568.5
299,557.5,569.5,0,0.0027397260273972603,1.2615473441108545,2165,563.5
303,552.6,564.5,0,0.0027397260273972603,1.2586405529953917,2170,558.55
307,547.5,559.5,0,0.0027397260273972603,1.2557471264367817,2175,553.5
311,542.9,554.5,1,0.0027397260273972603,1.2528669724770642,2180,548.7
315,537.4,549.5,1,0.0027397260273972603,1.25,2185,543.45
319,532.4,544.5,0,0.0027397260273972603,1.2471461187214612,2190,538.45
323,527.6,539.5,0,0.0027397260273972603,1.2443052391799545,2195,533.55
327,522.6,534.5,1,0.0027397260273972603,1.2414772727272727,2200,528.55
331,517.5,529.5,0,0.0027397260273972603,1.2386621315192743,2205,523.5
335,512.6,524.5,0,0.0027397260273972603,1.2358597285067874,2210,518.55
339,507.7,519.5,0,0.0027397260273972603,1.2330699774266365,2215,513.6
343,502.7,514.5,1,0.0027397260273972603,1.2302927927927927,2220,508.6
347,496.9,513.1,0,0.0027397260273972603,1.2275280898876404,2225,505.0
351,492.6,504.5,0,0.0027397260273972603,1.2247757847533631,2230,498.55
355,487.6,499.5,1,0.0027397260273972603,1.2220357941834452,2235,493.55
359,482.8,494.5,0,0.0027397260273972603,1.2193080357142858,2240,488.65
363,477.4,489.5,0,0.0027397260273972603,1.2165924276169264,2245,483.45
367,472.6,484.5,0,0.0027397260273972603,1.2138888888888888,2250,478.55
371,467.4,479.5,0,0.0027397260273972603,1.2111973392461197,2255,473.45
375,462.6,474.5,0,0.0027397260273972603,1.2085176991150441,2260,468.55
379,457.6,469.5,0,0.0027397260273972603,1.205849889624724,2265,463.55
383,452.4,464.5,0,0.0027397260273972603,1.203193832599119,2270,458.45
