SPX (S&P 500 INDEX),2731.25,+32.62,
Feb 15 2018 @ 16:16 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 1100.00 (SPX1816B1100),1607.30,+70.30,1627.10,1638.40,7,8006,18 Feb 1100.00 (SPX1816N1100),0.05,0.0,0.0,0.05,0,9307,
18 Feb 1100.00 (SPXW1816B1100),1525.60,0.0,1622.40,1634.50,0,15,18 Feb 1100.00 (SPXW1816N1100),0.40,0.0,0.0,0.05,0,905,
18 Feb 1100.00 (SPX1816B1100-E),1607.30,+70.30,1627.10,1638.40,7,8006,18 Feb 1100.00 (SPX1816N1100-E),0.05,0.0,0.0,0.05,0,9307,
18 Feb 1100.00 (SPXW1816B1100-E),1525.60,0.0,1622.40,1634.50,0,15,18 Feb 1100.00 (SPXW1816N1100-E),0.40,0.0,0.0,0.05,0,905,
18 Feb 1200.00 (SPX1816B1200),0.0,0.0,1527.10,1538.40,0,0,18 Feb 1200.00 (SPX1816N1200),0.05,0.0,0.0,0.05,0,8777,
18 Feb 1200.00 (SPXW1816B1200),1426.00,0.0,1522.40,1534.50,0,15,18 Feb 1200.00 (SPXW1816N1200),0.25,0.0,0.0,0.05,0,509,
18 Feb 1200.00 (SPX1816B1200-E),0.0,0.0,1527.10,1538.40,0,0,18 Feb 1200.00 (SPX1816N1200-E),0.05,0.0,0.0,0.05,0,8777,
18 Feb 1200.00 (SPXW1816B1200-E),1426.00,0.0,1522.40,1534.50,0,15,18 Feb 1200.00 (SPXW1816N1200-E),0.25,0.0,0.0,0.05,0,509,
18 Feb 1300.00 (SPX1816B1300),0.0,0.0,1427.10,1438.40,0,0,18 Feb 1300.00 (SPX1816N1300),0.05,0.0,0.0,0.05,0,2889,
18 Feb 1300.00 (SPXW1816B1300),0.0,0.0,1422.70,1434.50,0,0,18 Feb 1300.00 (SPXW1816N1300),0.05,0.0,0.0,0.05,0,1810,
18 Feb 1300.00 (SPX1816B1300-E),0.0,0.0,1427.10,1438.40,0,0,18 Feb 1300.00 (SPX1816N1300-E),0.05,0.0,0.0,0.05,0,2889,
18 Feb 1300.00 (SPXW1816B1300-E),0.0,0.0,1422.70,1434.50,0,0,18 Feb 1300.00 (SPXW1816N1300-E),0.05,0.0,0.0,0.05,0,1810,
18 Feb 1325.00 (SPX1816B1325),0.0,0.0,1402.10,1413.40,0,0,18 Feb 1325.00 (SPX1816N1325),0.05,0.0,0.0,0.05,0,133,
18 Feb 1325.00 (SPXW1816B1325),0.0,0.0,1397.40,1409.50,0,0,18 Feb 1325.00 (SPXW1816N1325),0.05,0.0,0.0,0.05,0,551,
18 Feb 1325.00 (SPX1816B1325-E),0.0,0.0,1402.10,1413.40,0,0,18 Feb 1325.00 (SPX1816N1325-E),0.05,0.0,0.0,0.05,0,133,
18 Feb 1325.00 (SPXW1816B1325-E),0.0,0.0,1397.40,1409.50,0,0,18 Feb 1325.00 (SPXW1816N1325-E),0.05,0.0,0.0,0.05,0,551,
18 Feb 1350.00 (SPX1816B1350),0.0,0.0,1377.10,1388.40,0,0,18 Feb 1350.00 (SPX1816N1350),0.05,0.0,0.0,0.05,0,101,
18 Feb 1350.00 (SPXW1816B1350),0.0,0.0,1372.70,1384.50,0,0,18 Feb 1350.00 (SPXW1816N1350),0.80,0.0,0.0,0.05,0,1077,
18 Feb 1350.00 (SPX1816B1350-E),0.0,0.0,1377.10,1388.40,0,0,18 Feb 1350.00 (SPX1816N1350-E),0.05,0.0,0.0,0.05,0,101,
18 Feb 1350.00 (SPXW1816B1350-E),0.0,0.0,1372.70,1384.50,0,0,18 Feb 1350.00 (SPXW1816N1350-E),0.80,0.0,0.0,0.05,0,1077,
18 Feb 1375.00 (SPX1816B1375),0.0,0.0,1352.10,1363.40,0,0,18 Feb 1375.00 (SPX1816N1375),0.05,0.0,0.0,0.05,0,147,
18 Feb 1375.00 (SPXW1816B1375),0.0,0.0,1347.40,1359.50,0,0,18 Feb 1375.00 (SPXW1816N1375),0.45,0.0,0.0,0.05,0,210,
18 Feb 1375.00 (SPX1816B1375-E),0.0,0.0,1352.10,1363.40,0,0,18 Feb 1375.00 (SPX1816N1375-E),0.05,0.0,0.0,0.05,0,147,
18 Feb 1375.00 (SPXW1816B1375-E),0.0,0.0,1347.40,1359.50,0,0,18 Feb 1375.00 (SPXW1816N1375-E),0.45,0.0,0.0,0.05,0,210,
18 Feb 1400.00 (SPX1816B1400),0.0,0.0,1327.10,1338.40,0,0,18 Feb 1400.00 (SPX1816N1400),0.05,0.0,0.0,0.05,0,425,
